COUNTRY_CODE,ORIGINAL_CHANNEL,LOCAL_CHANNEL,CHANNEL_USAGE,SOCIAL_COMMERCIAL,STRATEGIC_CHANNEL,GLOBAL_CHANNEL,GLOBAL_SUBCHANNEL
GR,CAFÉ-??????????,,,-1
GR,???????,,,-1
GR,HOTEL - CITY HO,,,-1
GR,QSR-SNACK,,,-1
GR,QSR - PIZZA PASTA,,,-1
GR,HO - TOURISTIC HOTEL,,,-1
GR,RESTAURANT-HRM,,,-1
GR,????,,,-1
GR,CPU,,,-1
GR,ALL OTHER,,,-1
GR,??????????,,,-1
GR,QSR-BURGER,,,-1
GR,CAFÉ RESTAURANT,,,-1
GR,RE - CAFE/RESTAURANT,,,-1
GR,TAVERNA,,,-1
GR,RESTAURANT - GRILL,,,-1
GR,HOTEL,,,-1
GR,pubs-bars-coffee-tea-shops_cafe,,,-1
GR,????,,,-1
GR,?????????,,,-1
GR,??????????,,,-1
GR,restaurants,,,-1
GR,RESTAURANT-HMR,,,-1
GR,??????????????????,,,-1
GR,???????/???????????,,,-1
GR,????,,,-1
GR,TAKE AWAY,,,-1
GR,CAFÉ-SNACK,,,-1
GR,RESTAURAT-HMR,,,-1
GR,????????????,,,-1
GR,HOTEL-CITY HO,,,-1
GR,??????????-BAR,,,-1
GR,QSR,,,-1
GR,BAKERY,,,-1
GR,hotels,,,-1
GR,CAMPING,,,-1
GR,???????,,,-1
GR,RESTAURANT-TAVERNA,,,-1
GR,??????????,,,-1
GR,???????????,,,-1
GR,SUPER MARKET,,,-1
GR,RESTAURANT - FSR (ITALIAN),,,-1
GR,ESTIATORIO,,,-1
GR,?????????? ?????,,,-1
GR,BURGER,,,-1
GR,BEACH BAR,,,-1
GR,QRS-GRILL,,,-1
GR,?????????,,,-1
GR,?????????,,,-1
GR,???????????,,,-1
GR,QSR-PIZZA PASTA,,,-1
GR,???????????????,,,-1
GR,pubs-bars-coffee-tea-shops_bar,,,-1
GR,????,,,-1
GR,travel,,,-1
GR,COLLEGE,,,-1
GR,CAFÉ BAR,,,-1
GR,PIZZERIA,,,-1
GR,????????,,,-1
GR,????????,,,-1
GR,QSR GRILL,,,-1
GR,??????????,,,-1
GR,PIZZA-PASTA,,,-1
GR,????????????,,,-1
GR,QSR-RESTAURANT,,,-1
GR,??????????-CAFÉ,,,-1
GR,CAFÉ- ??????????,,,-1
GR,hotels_apartment,,,-1
GR,other_wholesaler,,,-1
GR,work-place-canteens,,,-1
GR,??????????-??????????,,,-1
GR,??????????-??????????,,,-1
GR,catering,,,-1
GR,????????,,,-1
GR,????????,,,-1
GR,SNACK BAR,,,-1
GR,SNACK-CAFÉ,,,-1
GR,??????????,,,-1
GR,??????????,,,-1
GR,????L-CITY,,,-1
GR,QSR-SAANDWICH,,,-1
GR,TAVERNA GRILL,,,-1
GR,CAFÉ SNACK BAR,,,-1
GR,CAFÉ-SNACK BAR,,,-1
GR,SNACK-SANDWICH,,,-1
GR,CAFE-??????????,,,-1
GR,CHEF-CONSULTING,,,-1
GR,??TEL-TOURISTIC,,,-1
GR,CAFÉ- RESTAURANT,,,-1
GR,HOTEL-RESTAURANT,,,-1
GR,restaurants_chain,,,-1
GR,RESTAURANT TAVERNA,,,-1
GR,CAFÉ-??????????????,,,-1
GR,????????-??????????,,,-1
GR,??????? ????????????,,,-1
GR,RESTAURANT -  TAVERNA,,,-1
GR,education_universities,,,-1
GR,??????????????????-????,,,-1
GR,?????????/?????? ???????,,,-1
GR,???????? ??????? ????????,,,-1
GR,CAFÉ-??????????-??????????,,,-1
GR,ad,,,-1
GR,????,,,-1
GR,other,,,-1
GR,COFFEE,,,-1
GR,MARKET,,,-1
GR,??????,,,-1
GR,???????,,,-1
